i,GPS Latitude,GPS Longitude,GPS Altitude
1899,56.8884319,9.8703384,118.194
1910,56.8884319,9.8703384,118.194
1921,56.8883426,9.8703191,119.003
1932,56.8883426,9.8703191,119.003
1942,56.8882612,9.87029,119.461
1953,56.8881873,9.8702341,120.34
1964,56.8881873,9.8702341,120.34
1975,56.888108,9.8701568,120.849
1986,56.888108,9.8701568,120.849
1997,56.8880231,9.8700699,121.461
2007,56.8880231,9.8700699,121.461
2018,56.8879415,9.8699508,122.326
2029,56.8879415,9.8699508,122.326
2040,56.8878583,9.8698059,123.904
2050,56.8877901,9.8696112,125.837
2061,56.8877901,9.8696112,125.837
2072,56.8877415,9.8694027,126.144
2082,56.8877415,9.8694027,126.144
2093,56.8877118,9.8691702,125.909
2104,56.8877118,9.8691702,125.909
2114,56.8877064,9.8689029,125.663
2125,56.8877064,9.8689029,125.663
2135,56.8877356,9.8686448,125.05
2146,56.8878355,9.8683572,124.691
2156,56.8878355,9.8683572,124.691
2167,56.8880132,9.868103,125.815
2177,56.8880132,9.868103,125.815
2188,56.8882225,9.8678614,127.032
2198,56.8882225,9.8678614,127.032
2208,56.8884489,9.867621,127.405
2220,56.8884913,9.8674044,126.977
2231,56.8884913,9.8674044,126.977
2242,56.888428,9.8672922,125.687
2253,56.888428,9.8672922,125.687
2263,56.8883181,9.8672451,126.307
2274,56.8883181,9.8672451,126.307
2284,56.8882117,9.8671878,125.482
2294,56.8882117,9.8671878,125.482
2304,56.8881255,9.8670692,125.796
2314,56.8880299,9.8669169,126.835
2325,56.8880299,9.8669169,126.835
2335,56.8879513,9.8667551,127.198
2345,56.8879513,9.8667551,127.198
2355,56.8878741,9.8665855,127.272
2365,56.8878741,9.8665855,127.272
2376,56.8878097,9.866444,127.728
2386,56.8878097,9.866444,127.728
2396,56.8877451,9.8662996,128.042
2406,56.8876729,9.8661425,128.55
2417,56.8876729,9.8661425,128.55
2427,56.8876041,9.86599,128.147
2437,56.8876041,9.86599,128.147
2448,56.8875373,9.8658445,128.264
2458,56.8875373,9.8658445,128.264
2468,56.88747,9.8656956,127.586
2478,56.88747,9.8656956,127.586
2489,56.8874122,9.8655664,127.584
2499,56.8873498,9.8654282,126.907
2509,56.8873498,9.8654282,126.907
2519,56.88729,9.8652989,126.671
2530,56.88729,9.8652989,126.671
2540,56.8872303,9.8651638,126.737
2550,56.8872303,9.8651638,126.737
2561,56.8871607,9.8650098,127.177
2571,56.8871607,9.8650098,127.177
2582,56.8870955,9.8648626,127.29
2593,56.8870301,9.8647179,126.85
2603,56.8870301,9.8647179,126.85
2613,56.8869611,9.8645677,126.974
2624,56.8869611,9.8645677,126.974
2635,56.8868971,9.8644198,127.552
2646,56.8868971,9.8644198,127.552
2657,56.886823,9.8642583,127.203
2668,56.886823,9.8642583,127.203
2679,56.8867545,9.8641071,126.807
2689,56.886685,9.8639558,127.061
2699,56.886685,9.8639558,127.061
2710,56.8866136,9.8637915,127.544
2719,56.8866136,9.8637915,127.544
2730,56.8865421,9.8636361,128.008
2741,56.8865421,9.8636361,128.008
2752,56.8864676,9.8634732,127.389
2763,56.8864676,9.8634732,127.389
2774,56.8863877,9.8633044,126.379
2785,56.886315,9.8631424,126.155
2795,56.886315,9.8631424,126.155
2806,56.8862463,9.8629904,126.036
2816,56.8862463,9.8629904,126.036
2826,56.8861779,9.8628348,125.164
2837,56.8861779,9.8628348,125.164
2847,56.8861162,9.8626959,125.733
2857,56.8860424,9.8625547,125.702
2868,56.8860424,9.8625547,125.702
2879,56.8860424,9.8625547,125.702
2889,56.8860424,9.8625547,125.702
2900,56.8859,9.8622194,126.658
2911,56.8859,9.8622194,126.658
2921,56.8858348,9.8620495,125.758
2932,56.8858348,9.8620495,125.758
2944,56.8859339,9.8618361,124.699
2957,56.8862634,9.8618597,124.55
2969,56.8862634,9.8618597,124.55
2981,56.886632,9.861955,124.009
2991,56.886632,9.861955,124.009
3003,56.886632,9.861955,124.009
3013,56.886632,9.861955,124.009
3025,56.8872697,9.8620628,124.172
3037,56.8872697,9.8620628,124.172
3048,56.8876018,9.8621128,123.866
3060,56.8879013,9.862154,123.494
3071,56.8879013,9.862154,123.494
3082,56.8881952,9.8621908,122.926
3092,56.8881952,9.8621908,122.926
3098,56.8885038,9.8622316,122.211
3109,56.8885038,9.8622316,122.211
3119,56.8887841,9.8622687,121.842
3129,56.8887841,9.8622687,121.842
3139,56.8890807,9.8623063,121.598
3150,56.8893491,9.8623466,121.652
3160,56.8893491,9.8623466,121.652
3168,56.8896196,9.8623753,121.762
3178,56.8896196,9.8623753,121.762
3188,56.8899196,9.8624071,122.445
3198,56.8899196,9.8624071,122.445
3209,56.8902144,9.8624404,123.517
3214,56.8902144,9.8624404,123.517
3223,56.89052,9.8624886,124.714
3235,56.8908522,9.8627857,124.113
3245,56.8908522,9.8627857,124.113
3257,56.8909458,9.8634145,125.248
3269,56.8909458,9.8634145,125.248
3280,56.8908396,9.863916,127.276
3291,56.8908396,9.863916,127.276
3302,56.890675,9.8643436,129.158
3313,56.890675,9.8643436,129.158
3324,56.8905221,9.864778,129.734
3331,56.8903738,9.8653142,128.926
3343,56.8903738,9.8653142,128.926
3353,56.8902515,9.8658421,128.212
3364,56.8902515,9.8658421,128.212
3375,56.8901333,9.8663582,127.177
3380,56.8901333,9.8663582,127.177
3391,56.8900122,9.8669049,126.225
3402,56.8900122,9.8669049,126.225
3414,56.8899577,9.8674973,124.381
3426,56.890197,9.8681851,122.385
3435,56.890197,9.8681851,122.385
3448,56.8905123,9.8683574,122.653
3460,56.8905123,9.8683574,122.653
3472,56.890704,9.8682988,122.606
3481,56.890704,9.8682988,122.606
3492,56.8908203,9.8681918,123.125
3503,56.8908203,9.8681918,123.125
3514,56.8909025,9.8680631,123.855
3524,56.891004,9.8679135,124.193
3530,56.891004,9.8679135,124.193
3541,56.8912817,9.86784,124.324
3552,56.8912817,9.86784,124.324
3560,56.8916027,9.8678882,125.759
3570,56.8916027,9.8678882,125.759
3579,56.8919118,9.8679247,126.381
3589,56.8922304,9.8679411,127.045
3600,56.8922304,9.8679411,127.045
3610,56.8925379,9.8679587,127.478
3620,56.8925379,9.8679587,127.478
3627,56.8928735,9.8679986,127.052
3638,56.8928735,9.8679986,127.052
3648,56.8931816,9.8680234,128.074
3658,56.8931816,9.8680234,128.074
3668,56.8934933,9.868042,127.589
3674,56.8938219,9.8680696,126.403
3684,56.8938219,9.8680696,126.403
3695,56.8941244,9.8680966,124.811
3705,56.8941244,9.8680966,124.811
3715,56.8944193,9.8681256,123.303
3725,56.8944193,9.8681256,123.303
3736,56.8947324,9.8681478,123.257
3746,56.8947324,9.8681478,123.257
3757,56.8950272,9.8681624,123.535
3767,56.8953193,9.8681833,124.501
3777,56.8953193,9.8681833,124.501
3788,56.8956371,9.8682013,125.068
3797,56.8956371,9.8682013,125.068
3808,56.8959383,9.8682278,125.683
3818,56.8959383,9.8682278,125.683
3828,56.8962625,9.8682536,125.396
3839,56.8962625,9.8682536,125.396
3849,56.8965567,9.8682794,125.988
3859,56.8968514,9.8683137,125.665
3869,56.8968514,9.8683137,125.665
3880,56.8971287,9.8687499,125.167
3891,56.8971287,9.8687499,125.167
3903,56.897096,9.8693443,126.807
3914,56.897096,9.8693443,126.807
3926,56.8969082,9.8695389,127.329
3935,56.8969082,9.8695389,127.329
3945,56.8967512,9.8694912,127.361
3956,56.8966302,9.8694103,126.627
3965,56.8966302,9.8694103,126.627
3976,56.8965136,9.8693127,125.363
3980,56.8965136,9.8693127,125.363
3991,56.8964118,9.8692231,125.752
4001,56.8964118,9.8692231,125.752
4012,56.8963037,9.8691321,126.227
4022,56.8963037,9.8691321,126.227
4032,56.8961789,9.8690413,126.702
4040,56.8960426,9.8690126,125.611
4051,56.8960426,9.8690126,125.611
4061,56.8959326,9.8689102,126.426
4071,56.8959326,9.8689102,126.426
4081,56.8958045,9.8688108,126.986
4092,56.8958045,9.8688108,126.986
4101,56.8956745,9.8687178,128.154
4110,56.8956745,9.8687178,128.154
4121,56.8955363,9.8686175,129.777
4131,56.8953684,9.8685056,130.719
4141,56.8953684,9.8685056,130.719
4151,56.895207,9.8683932,131.4
4161,56.895207,9.8683932,131.4
4171,56.8950526,9.8682872,131.689
4182,56.8950526,9.8682872,131.689
4186,56.8948936,9.868177,131.26
4197,56.8948936,9.868177,131.26
4207,56.8947586,9.8680844,130.249
4218,56.8946226,9.867993,128.778
4228,56.8946226,9.867993,128.778
4235,56.8945029,9.867905,128.695
4245,56.8945029,9.867905,128.695
4256,56.8943861,9.8678208,128.288
4266,56.8943861,9.8678208,128.288
4276,56.8942591,9.8677327,127.224
4285,56.894129,9.8676444,128.731
4295,56.894129,9.8676444,128.731
4305,56.893987,9.8675486,128.297
4315,56.893987,9.8675486,128.297
4325,56.8938369,9.8674482,129.019
4335,56.8938369,9.8674482,129.019
4345,56.8937076,9.8673564,129.145
4356,56.8937076,9.8673564,129.145
4366,56.8935746,9.8672529,129.205
4376,56.8934206,9.8671561,128.925
4386,56.8934206,9.8671561,128.925
4396,56.89328,9.8670637,128.443
4406,56.89328,9.8670637,128.443
4416,56.8931039,9.8670101,127.01
4427,56.8931039,9.8670101,127.01
4437,56.8928698,9.8672969,127.575
4446,56.8928698,9.8672969,127.575
4456,56.8926393,9.8676261,129.378
4466,56.8924016,9.8679211,130.048
4476,56.8924016,9.8679211,130.048
4486,56.8921925,9.868162,130.758
4496,56.8921925,9.868162,130.758
4507,56.8919883,9.8683874,131.455
4514,56.8919883,9.8683874,131.455
4525,56.8917723,9.8686296,131.75
4536,56.8917723,9.8686296,131.75
4548,56.8915762,9.8688502,129.976
4560,56.8913739,9.8690736,129.742
4571,56.8913739,9.8690736,129.742
4582,56.8911767,9.8692766,130.01
4594,56.8911767,9.8692766,130.01
4605,56.8909731,9.8694948,129.821
4617,56.8909731,9.8694948,129.821
4629,56.8907596,9.8697292,129.245
4637,56.8907596,9.8697292,129.245
4649,56.8905744,9.8699322,128.958
4661,56.8903866,9.8701271,128.643
4673,56.8903866,9.8701271,128.643
4685,56.8901781,9.8703529,128.409
4697,56.8901781,9.8703529,128.409
4709,56.8899836,9.8705688,128.178
4721,56.8899836,9.8705688,128.178
4733,56.8897909,9.8707812,128.761
4745,56.8897909,9.8707812,128.761
4756,56.889585,9.8710044,128.308
4768,56.8894025,9.8712033,128.475
4774,56.8894025,9.8712033,128.475
4786,56.8892112,9.8714117,128.248
4795,56.8892112,9.8714117,128.248
4803,56.8890368,9.8715996,128.004
4814,56.8890368,9.8715996,128.004
4824,56.8888592,9.8717912,127.922
4836,56.8888592,9.8717912,127.922
4848,56.8886774,9.871976,127.218
4855,56.8885134,9.8721648,127.657
4864,56.8885134,9.8721648,127.657
4876,56.8883568,9.8723392,126.814
4888,56.8883568,9.8723392,126.814
4900,56.8881938,9.8725184,126.357
4911,56.8881938,9.8725184,126.357
4915,56.8880417,9.8726818,125.636
4927,56.8880417,9.8726818,125.636
4939,56.8878847,9.8728552,125.107
4951,56.887745,9.8730077,124.435
4963,56.887745,9.8730077,124.435
4967,56.8876115,9.8731559,123.789
4980,56.8876115,9.8731559,123.789
4992,56.8874733,9.8733062,122.824
5004,56.8874733,9.8733062,122.824
5016,56.8873461,9.8734456,122.086
5028,56.8872107,9.873589,122.401
5037,56.8872107,9.873589,122.401
5049,56.887056,9.8737528,122.632
5061,56.887056,9.8737528,122.632
5072,56.8869038,9.8739129,123.093
5084,56.8869038,9.8739129,123.093
5091,56.8867558,9.8740702,123.423
5103,56.8867558,9.8740702,123.423
5115,56.8866053,9.8742365,123.741
5127,56.8864695,9.8743828,123.948
5139,56.8864695,9.8743828,123.948
5148,56.8863215,9.8745445,125.013
5156,56.8863215,9.8745445,125.013
5168,56.8861805,9.8746946,124.896
5181,56.8861805,9.8746946,124.896
5193,56.8860378,9.8748656,124.52
5206,56.8860378,9.8748656,124.52
5218,56.8859902,9.8753842,123.892
5230,56.8862257,9.8758235,125.155
5243,56.8862257,9.8758235,125.155
5255,56.8865163,9.8757974,126.409
5267,56.8865163,9.8757974,126.409
5279,56.886734,9.8755509,126.356
5291,56.886734,9.8755509,126.356
5301,56.8869115,9.8752919,126.036
5313,56.8869115,9.8752919,126.036
5325,56.8871484,9.8750943,125.682
5337,56.8874834,9.8750552,126.18
5349,56.8874834,9.8750552,126.18
5357,56.8877958,9.8750469,126.556
5368,56.8877958,9.8750469,126.556
5378,56.8881255,9.8750488,126.291
5390,56.8881255,9.8750488,126.291
5400,56.8884259,9.8750394,125.83
5404,56.8884259,9.8750394,125.83
5414,56.8887375,9.8750323,125.34
5425,56.8890677,9.875039,127.283
5435,56.8890677,9.875039,127.283
5445,56.8893723,9.8750375,127.795
5456,56.8893723,9.8750375,127.795
5464,56.889678,9.8750362,128.336
5474,56.889678,9.8750362,128.336
5485,56.890008,9.8750388,128.605
5496,56.890008,9.8750388,128.605
5507,56.8903117,9.8750436,128.019
5516,56.8906292,9.8750397,128.677
5525,56.8906292,9.8750397,128.677
5535,56.8909394,9.8750414,128.267
5546,56.8909394,9.8750414,128.267
5556,56.8912501,9.8750477,127.342
5564,56.8912501,9.8750477,127.342
5570,56.891568,9.8750479,126.986
5581,56.891568,9.8750479,126.986
5592,56.8918574,9.8750532,127.481
5602,56.8921518,9.8750551,127.858
5613,56.8921518,9.8750551,127.858
5623,56.8924824,9.8750477,128.143
5634,56.8924824,9.8750477,128.143
5644,56.8928072,9.8750483,128.762
5655,56.8928072,9.8750483,128.762
5665,56.89317,9.8750464,129.247
5671,56.89317,9.8750464,129.247
5681,56.8935072,9.8750492,129.505
5692,56.8937483,9.8748667,128.489
5702,56.8937483,9.8748667,128.489
5714,56.8937001,9.8746194,128.035
5725,56.8937001,9.8746194,128.035
5735,56.8935897,9.8744733,128.505
5745,56.8935897,9.8744733,128.505
5754,56.8934825,9.874321,128.63
5764,56.8933717,9.87416,128.823
5772,56.8933717,9.87416,128.823
5779,56.8933717,9.87416,128.823
5786,56.8933717,9.87416,128.823
5793,56.8931972,9.8739117,126.57
5807,56.8931972,9.8739117,126.57
5822,56.8931123,9.8737994,126.144
5833,56.8931123,9.8737994,126.144
5842,56.8930363,9.8736953,125.675
5853,56.8929621,9.8735928,125.78
5863,56.8929621,9.8735928,125.78
5873,56.8928803,9.8734804,125.952
5883,56.8928803,9.8734804,125.952
5893,56.8928004,9.873369,125.699
5903,56.8928004,9.873369,125.699
5911,56.8927148,9.8732497,125.563
5921,56.8927148,9.8732497,125.563
5931,56.8926328,9.873137,124.958
5941,56.8925487,9.8730264,124.61
5951,56.8925487,9.8730264,124.61
5961,56.8924643,9.8729068,124.84
5972,56.8924643,9.8729068,124.84
5982,56.8923846,9.8727965,124.829
5992,56.8923846,9.8727965,124.829
6001,56.8923038,9.8726817,125.203
6010,56.8923038,9.8726817,125.203
6021,56.8922183,9.8725614,125.108
6031,56.8921373,9.8724503,125.036
6036,56.8921373,9.8724503,125.036
6046,56.8920511,9.8723321,125.624
6057,56.8920511,9.8723321,125.624
6067,56.8919697,9.8722115,126.392
6077,56.8919697,9.8722115,126.392
6087,56.891887,9.8720936,126.15
6094,56.891887,9.8720936,126.15
6104,56.8917967,9.8719725,125.849
6115,56.8917161,9.8718591,125.311
6125,56.8917161,9.8718591,125.311
6135,56.8916362,9.8717505,124.708
6146,56.8916362,9.8717505,124.708
6156,56.8915446,9.8716249,125.396
6166,56.8915446,9.8716249,125.396
6177,56.8914544,9.8715018,125.762
6187,56.8914544,9.8715018,125.762
6198,56.891363,9.8713719,126.86
6208,56.8912579,9.8712246,126.687
6218,56.8912579,9.8712246,126.687
6229,56.8911605,9.8710907,126.818
6239,56.8911605,9.8710907,126.818
6249,56.8911605,9.8710907,126.818
6260,56.8911605,9.8710907,126.818
6270,56.8909563,9.8708096,128.109
6280,56.8909563,9.8708096,128.109
6291,56.8908539,9.8706646,128.447
6301,56.8907428,9.8705062,128.815
6310,56.8907428,9.8705062,128.815
6320,56.8906428,9.8703664,128.012
6330,56.8906428,9.8703664,128.012
6341,56.8905542,9.8702494,127.699
6351,56.8905542,9.8702494,127.699
6361,56.8905542,9.8702494,127.699
6371,56.8903791,9.8700064,126.046
6381,56.8903791,9.8700064,126.046
6385,56.8902737,9.8699422,124.781
6396,56.8902737,9.8699422,124.781
6407,56.8901176,9.8702139,122.287
6417,56.8901176,9.8702139,122.287
